Mes,ME/USD,Moneda,Anho,G/ME
1,"1,0000",USD,2001,"3.586,00"
1,"2,1169",DEM,2001,"1.693,99"
1,"116,6400",JPY,2001,"30,74"
1,"1,4612",GBP,2001,"5.239,86"
1,"1,6488",CHF,2001,"2.174,92"
1,"7,0999",FRF,2001,"505,08"
1,"9,5653",SEK,2001,"374,90"
1,"2,3852",NLG,2001,"1.503,44"
1,"8,0722",DKK,2001,"444,24"
1,"180,0900",ESP,2001,"19,91"
1,"8,8554",NOK,2001,"404,95"
1,"14,8937",ATS,2001,"240,77"
1,"2.095,7600",ITL,2001,"1,71"
1,"43,6630",BEF,2001,"82,13"
1,"1,9720",BRL,2001,"1.818,46"
1,"0,9998",ARS,2001,"3.586,72"
1,"1,4984",CAD,2001,"2.393,22"
1,"7,8325",ZAR,2001,"457,84"
1,"1,2913",SDR,2001,"4.630,60"
1,"264,8500",XAU,2001,"949.752,10"
1,"699,7500",VEF,2001,"5,12"
1,"563,2000",CLP,2001,"6,37"
1,"0,9236",EUR,2001,"3.312,03"
1,"12,5600",UYU,2001,"285,51"
2,"1,0000",USD,2001,"3.745,00"
2,"2,1331",DEM,2001,"1.755,66"
2,"116,2100",JPY,2001,"32,23"
2,"1,4397",GBP,2001,"5.391,68"
2,"1,6772",CHF,2001,"2.232,89"
2,"7,1572",FRF,2001,"523,25"
2,"9,8488",SEK,2001,"380,25"
2,"2,4045",NLG,2001,"1.557,50"
2,"8,1422",DKK,2001,"459,95"
2,"181,4700",ESP,2001,"20,64"
2,"8,9710",NOK,2001,"417,46"
2,"15,0074",ATS,2001,"249,54"
2,"2.112,6800",ITL,2001,"1,77"
2,"43,9960",BEF,2001,"85,12"
2,"2,0310",BRL,2001,"1.843,92"
2,"0,9998",ARS,2001,"3.745,75"
2,"1,5293",CAD,2001,"2.448,83"
2,"7,7353",ZAR,2001,"484,14"
2,"1,2898",SDR,2001,"4.830,30"
2,"268,3000",XAU,2001,"1.004.783,50"
2,"703,2000",VEF,2001,"5,33"
2,"566,7000",CLP,2001,"6,61"
2,"0,9164",EUR,2001,"3.431,92"
2,"12,6000",UYU,2001,"297,22"
3,"1,0000",USD,2001,"3.790,00"
3,"2,2150",DEM,2001,"1.711,06"
3,"123,1800",JPY,2001,"30,77"
3,"1,4347",GBP,2001,"5.437,51"
3,"1,7270",CHF,2001,"2.194,56"
3,"7,4287",FRF,2001,"510,18"
3,"10,3720",SEK,2001,"365,41"
3,"2,4957",NLG,2001,"1.518,61"
3,"8,4517",DKK,2001,"448,43"
3,"188,4300",ESP,2001,"20,11"
3,"9,1146",NOK,2001,"415,82"
3,"15,5836",ATS,2001,"243,20"
3,"2.192,8300",ITL,2001,"1,73"
3,"45,6850",BEF,2001,"82,96"
3,"2,1390",BRL,2001,"1.771,86"
3,"0,9996",ARS,2001,"3.791,52"
3,"1,5692",CAD,2001,"2.415,24"
3,"7,9775",ZAR,2001,"475,09"
3,"1,2668",SDR,2001,"4.801,17"
3,"259,2000",XAU,2001,"982.368,00"
3,"706,8500",VEF,2001,"5,36"
3,"592,6000",CLP,2001,"6,40"
3,"0,8826",EUR,2001,"3.345,05"
3,"12,9000",UYU,2001,"293,80"
4,"1,0000",USD,2001,"3.795,00"
4,"2,1919",DEM,2001,"1.731,37"
4,"123,6700",JPY,2001,"30,69"
4,"1,4363",GBP,2001,"5.450,76"
4,"1,7228",CHF,2001,"2.202,81"
4,"7,3505",FRF,2001,"516,29"
4,"10,1940",SEK,2001,"372,28"
4,"2,4694",NLG,2001,"1.536,81"
4,"8,3643",DKK,2001,"453,71"
4,"186,4500",ESP,2001,"20,35"
4,"9,0776",NOK,2001,"418,06"
4,"15,4212",ATS,2001,"246,09"
4,"2.169,7300",ITL,2001,"1,75"
